0x8000037c:xori   t1,s8,0x3de  t1=0xcccccccc^0x000007bc=0xcccccb70
0x80000380:xori   t0,t0,0x000  t0=0x00000002^0x00000000=0x00000002
0x80000384:bge    t5,t6,0x000   (0x33332f32>=0x33332f33)=0->pc=0x00000000
0x80000388:ori   t4,s9,0xfff  t4=0xdddddddd|0xffffffff=0xffffffff
0x8000038c:ori   t3,a7,0xfff  t3=0xa7a7a7a7|0xffffffff=0xffffffff
0x80000390:ori   t6,gp,0xfff  t6=0x01010101|0xffffffff=0xffffffff
0x80000394:ori   t5,tp,0xfff  t5=0x10101010|0xffffffff=0xffffffff
0x80000398:ori   t0,ra,0xfff  t0=0x800006cc|0xffffffff=0xffffffff
0x8000039c:ori   t2,sp,0xfff  t2=0x80007ff0|0xffffffff=0xffffffff
0x800003a0:ori   t1,zero,0xfff  t1=0x00000000|0xffffffff=0xffffffff
0x800003a4:bne    t0,t1,0x000       (0xffffffff!=0xffffffff)=0->pc=0x800003a8
0x800003a8:andi   t2,t3,0x7ff  t2=0xffffffff&-1=0xffffffff
0x800003ac:andi   t5,t6,0x000  t5=0xffffffff&1=0x00000001
0x800003b0:andi   t4,t4,0x001  t4=0xffffffff&2=0x00000002
0x800003b4:andi   t0,s0,0x002  t0=0x44444444&4=0x00000004
0x800003b8:andi   t3,s1,0x1ff  t3=0x55555555&1023=0x00000155
0x800003bc:andi   t1,s2,0x3ff  t1=0x66666666&2047=0x00000666
0x800003c0:bltu    t2,t5,0x000   (0xffffffff<0x00000001)=0->pc=0x800003c4
0x800003c4:add    t0,ra,sp          t0=0x800006cc+0x80007ff0=0x000086bc
0x800003c8:add    t1,gp,zero          t1=0x01010101+0x00000000=0x01010101
.
.
.
0x8000059c:bne    t0,t1,0xfee       (0x80000863!=0x80000870)=1->pc=0x80000578
0x80000578:lb    t2,0x002(t0)   t2=mem[0x80000865]=0xffffffcc
0x8000057c:lh    t3,0x003(t0)   t3=mem[0x80000866]=0xffffaabb
0x80000580:lw     t3,0x004(t0)        t3=mem[0x80000867]=0xbbccddaa
0x80000584:lbu    t4,0x005(t0)   t4=mem[0x80000868]=0x000000dd
0x80000588:lhu    t5,0x006(t0)   t5=mem[0x80000869]=0x0000bbcc
0x8000058c:sb    t2,0xfff(t0)   mem[0x80000862]=0xffffffcc
0x80000590:sh    t3,0xffe(t0)   mem[0x80000861]=0xbbccddaa
